TOKENS         |        Lexemes
===============================
KEYWORD        =            int
IDENTIFIER     =           num1
SEPARATOR      =              ,
IDENTIFIER     =           num2
SEPARATOR      =              ,
IDENTIFIER     =         large$
SEPARATOR      =              ;
KEYWORD        =          float
IDENTIFIER     =             tf
SEPARATOR      =              ;
IDENTIFIER     =           num1
OPERATOR       =              =
OPERATOR       =              -
INTEGER        =              1
SEPARATOR      =              ;
IDENTIFIER     =           num2
OPERATOR       =              =
INTEGER        =             10
SEPARATOR      =              ;
IDENTIFIER     =             tf
OPERATOR       =              =
REAL           =           .576
SEPARATOR      =              ;
KEYWORD        =             if
SEPARATOR      =              (
IDENTIFIER     =           num1
OPERATOR       =              >
IDENTIFIER     =           num2
SEPARATOR      =              )
SEPARATOR      =              {
IDENTIFIER     =         large$
OPERATOR       =              =
IDENTIFIER     =           num1
SEPARATOR      =              ;
SEPARATOR      =              }
KEYWORD        =           else
SEPARATOR      =              {
IDENTIFIER     =         large$
OPERATOR       =              =
IDENTIFIER     =           num2
SEPARATOR      =              ;
SEPARATOR      =              }
REAL           =            .12
